Weekly Cushing OK Ending Stocks excluding SPR of Crude Oil
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=W_EPC0_SAX_YCUOK_MBBL&f=W
19:23:07 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Week of,Weekly Cushing OK Ending Stocks excluding SPR of Crude Oil Thousand Barrels
08/23/2019,40356
08/16/2019,42336
08/9/2019,44821
08/2/2019,47361
07/26/2019,48865
07/19/2019,50398
07/12/2019,50827
07/5/2019,52178
06/28/2019,52488
06/21/2019,51836
06/14/2019,53582
06/7/2019,52940
05/31/2019,50844
05/24/2019,49053
05/17/2019,49069
05/10/2019,47803
05/3/2019,45998
04/26/2019,45177
04/19/2019,44912
04/12/2019,44449
04/5/2019,45992
03/29/2019,47125
03/22/2019,46924
03/15/2019,46383
03/8/2019,46851
03/1/2019,47523
02/22/2019,46650
02/15/2019,45022
02/8/2019,41609
02/1/2019,42625
01/25/2019,41184
01/18/2019,41329
01/11/2019,41519
01/4/2019,42262
12/28/2018,41932
12/21/2018,41291
12/14/2018,40492
12/7/2018,39401
11/30/2018,38253
11/23/2018,36524
11/16/2018,35347
11/9/2018,35463
11/2/2018,34296
10/26/2018,31877
10/19/2018,29999
10/12/2018,28628
10/5/2018,26852
09/28/2018,24493
09/21/2018,22794
09/14/2018,22333
09/7/2018,23583
08/31/2018,24825
08/24/2018,24276
08/17/2018,24218
08/10/2018,23446
08/3/2018,21803
07/27/2018,22393
07/20/2018,23731
07/13/2018,24858
07/6/2018,25718
06/29/2018,27780
06/22/2018,29893
06/15/2018,32606
06/8/2018,33902
06/1/2018,34589
05/25/2018,35544
05/18/2018,36100
05/11/2018,37223
05/4/2018,37170
04/27/2018,35782
04/20/2018,35366
04/13/2018,34907
04/6/2018,36022
03/30/2018,34893
03/23/2018,31227
03/16/2018,29423
03/9/2018,28518
03/2/2018,28180
02/23/2018,28785
02/16/2018,30003
02/9/2018,32667
02/2/2018,36309
01/26/2018,37020
01/19/2018,39244
01/12/2018,42394
01/5/2018,46578
12/29/2017,48973
12/22/2017,51414
12/15/2017,52998
12/8/2017,52244
12/1/2017,55561
11/24/2017,58314
11/17/2017,61228
11/10/2017,63055
11/3/2017,64559
10/27/2017,63839
10/20/2017,63749
10/13/2017,63986
10/6/2017,63784
09/29/2017,62462
09/22/2017,60937
09/15/2017,59756
09/8/2017,59053
09/1/2017,58030
08/25/2017,57233
08/18/2017,56544
08/11/2017,57047
08/4/2017,56369
07/28/2017,55800
07/21/2017,55839
07/14/2017,57538
07/7/2017,57561
06/30/2017,59509
06/23/2017,60843
06/16/2017,61140
06/9/2017,62220
06/2/2017,63376
05/26/2017,64820
05/19/2017,65567
05/12/2017,66308
05/5/2017,66273
04/28/2017,66711
04/21/2017,67439
04/14/2017,68642
04/7/2017,69420
03/31/2017,69144
03/24/2017,67731
03/17/2017,67951
03/10/2017,66532
03/3/2017,64402
02/24/2017,63535
02/17/2017,63040
02/10/2017,64568
02/3/2017,65270
01/27/2017,64127
01/20/2017,65372
01/13/2017,65656
01/6/2017,66930
12/30/2016,67509
12/23/2016,66435
12/16/2016,66263
12/9/2016,66508
12/2/2016,65285
11/25/2016,61502
11/18/2016,59083
11/11/2016,59170
11/4/2016,58479
10/28/2016,58451
10/21/2016,58362
10/14/2016,59699
10/7/2016,61334
09/30/2016,62652
09/23/2016,62083
